severity,file,lines,issue,repro_steps,suggested_fix,status
"CRITICAL","backend/.env","entire file","Secrets committed to repository (GEMINI_API_KEY, DATABASE_URL, API keys)","Open backend/.env in repository and inspect values.","Rotate/revoke exposed keys; remove backend/.env from repo; add to .gitignore; use secret manager; provide backend/.env.example.","open"
"CRITICAL","backend/app.py","~520-980","Arbitrary code execution risk: execute_code_locally runs user code without sandboxing; execute_code_via_piston silently falls back to local execution when Judge0 not configured.","Call POST /api/code/execute-raw or /api/code/run with code that reads files or performs network requests when Judge0 unset; observe host-side effects.","Disable local execution fallback in production; require ALLOW_LOCAL_EXECUTION opt-in; use an isolated runner or containerized sandbox; enforce auth and rate limits.","open"
"CRITICAL","backend/app.py","~880-920","/api/code/execute-raw accepted arbitrary files and executed them without auth, rate-limits or size caps.","POST a Python file containing system calls or large payload to /api/code/execute-raw and observe execution.","Require API key; add rate limiting and payload size limits; reject execution when Judge0 not configured; return 503 when execution unavailable.","mitigated (patched)"
"CRITICAL","backend/auth.py","1-40","API key handling used plain equality and defaulted to empty string; misconfiguration returned 500; non-constant-time compare.","Unset API_SECRET_KEY and call protected endpoint -> returns 500; probe for timing differences when validating keys.","Fail fast when API_SECRET_KEY missing; use hmac.compare_digest for constant-time comparison; return 401 for invalid keys.","mitigated (patched)"
"HIGH","backend/placement_assessment_system/api.py","multiple (~1-800)","Multiple issues: undefined variables when saving submits (mcqAnswers/codingSubmissions), unsanitized LLM translation and hinting, DDL auto-migrations in request path.","POST /api/assessment/submit with normal payload -> server error; invoke translation/hint with large code -> LLM call; call endpoints with restricted DB role -> migration DDL may fail.","Replace undefined variables; enforce input size limits and sanitize before LLM calls; move migrations to Alembic/startup job.","open"
"HIGH","backend/rag/retriever.py","~1-200","Similarity threshold misconfigured (SIMILARITY_THRESHOLD=1.3) and no retry/backoff on embedding calls.","Call retrieve_context() and observe empty or incorrect results; revoke GEMINI key and observe unhandled exceptions.","Confirm metric scale and set appropriate threshold; add try/except and retry/backoff; add cached fallback.","open"
"HIGH","backend/rag/generator.py","~1-200","Model client uses global api_key and returns model outputs with little sanitization; errors expose misconfiguration.","Call RAG endpoints with missing/invalid key and observe exceptions; model may return code fences unsafely.","Centralize model client creation with robust error handling; sanitize outputs; add provenance metadata.","open"
"HIGH","backend/app.py","~1068-1120","Fragile result comparisons: direct stdout==expected equality is brittle to whitespace and canonicalization.","Provide test where expected is 'Hello' and actual 'Hello\n' -> marked failed.","Normalize outputs before comparison: trim, normalize newlines, JSON-compare where applicable; add per-language normalization.","open"
"HIGH","backend/scraper/create_embeddings.py","entire file","Embeddings computed locally with heavy model (SentenceTransformer); resource-intensive and unbounded.","Run embedding script on large corpus -> high memory usage and potential OOM.","Run embedding generation in controlled batch workers; or use managed service; add batching and error handling.","open"
"MEDIUM","backend/scraper/download_book.py","entire file","Crawler writes files following relative links without path normalization; no robots.txt handling.","Crawled page with crafted paths could write outside intended directory.","Resolve and validate href paths; ensure output path is a child of output_dir; respect robots.txt; cap depth/rate.","open"
"MEDIUM","backend/scraper/book_parser.py","entire file","Parses HTML and writes JSON; may retain HTML-derived text that could be rendered unsafely (XSS) if later used with innerHTML.","Parse malicious HTML and later render in frontend using dangerouslySetInnerHTML -> XSS.","Store plain-text only, escape HTML, or ensure frontend sanitizes before rendering; avoid dangerouslySetInnerHTML.","open"
"MEDIUM","backend/scraper/store_embeddings.py","entire file","Deletes and recreates ChromaDB collection unconditionally (data loss risk) and inserts items one-by-one (inefficient).","Run script -> old collection removed; slow insertion for large dataset.","Use atomic create-and-swap, batch inserts, and backup collection before deletion.","open"
"MEDIUM","backend/utils/cache_manager.py","entire file","In-memory cache not thread/process-safe (no locks) and lacks eviction policy; unsafe in multi-worker deployments.","Concurrent requests calling topic_cache.set/get may race; multi-process deployments lose cache state.","Add threading.Lock around operations or use Redis; add max entries and LRU eviction.","open"
"MEDIUM","backend/check_rag.py","entire file","Connects to ChromaDB and prints documents without error handling; may leak data.","Run script in production -> prints dataset to stdout/log.","Avoid printing sensitive data; add try/except; restrict script to admin use.","open"
"MEDIUM","src/components/ui/chart.tsx","~70-110","Uses dangerouslySetInnerHTML to inject generated CSS variables; could be abused if config values are untrusted.","If chart config contains attacker-controlled values, malicious CSS may be injected.","Validate/sanitize color tokens; whitelist accepted values; ensure config cannot be user-controlled.","open"
"LOW","src/utils/markdown.tsx","entire file","Custom markdown renderer implemented safely (no dangerouslySetInnerHTML).","N/A","Continue to avoid rendering raw HTML; consider more features if needed.","info"
"LOW","package.json, backend/requirements.txt, backend/scraper/venv, dist/","n/a","Third-party dependencies present; repo contains committed virtualenv and build artifacts.","Inspect repo -> backend/scraper/venv and dist/ directories present.","Remove venv and dist from repo; add to .gitignore; run npm audit and pip-audit; remediate CVEs.","open"
