id,category,category_label,topic,difficulty,question,options,answer,solution,source_repo,source_file
quantitative-aptitude-basic-percentages-0001,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Percentages,basic,What is 25% of 400?,100 | 105 | 97 | 200,100,25% of 400 = (25/100) × 400 = 0.25 × 400 = 100.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-percentages-0002,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Percentages,basic,Find 10% of 1500.,150 | 155 | 147 | 300,150,10% of 1500 = (10/100) × 1500 = 0.1 × 1500 = 150.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-percentages-0003,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Percentages,basic,"If 20% of a number is 80, what is the number?",400 | 405 | 397 | 800,400,"Let the number be \( x \). Then, 20% of \( x = 80 \). \( 0.2x = 80 \), so \( x = 80 / 0.2 = 400 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-percentages-0004,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Percentages,basic,What is 5% of 2000?,100 | 105 | 97 | 200,100,5% of 2000 = (5/100) × 2000 = 0.05 × 2000 = 100.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-percentages-0005,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Percentages,basic,"If 15% of a number is 45, find the number.",300 | 305 | 297 | 600,300,"Let the number be \( x \). Then, \( 0.15x = 45 \). \( x = 45 / 0.15 = 300 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-percentages-0006,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Percentages,basic,Calculate 40% of 250.,100 | 105 | 97 | 200,100,40% of 250 = (40/100) × 250 = 0.4 × 250 = 100.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-percentages-0007,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Percentages,basic,"If a number increased by 20% gives 240, what is the original number?",200 | 205 | 197 | 400,200,"Let the original number be \( x \). Then, \( x + 0.2x = 240 \). \( 1.2x = 240 \), so \( x = 240 / 1.2 = 200 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-percentages-0008,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Percentages,basic,What is 30% of 600?,180 | 185 | 177 | 360,180,30% of 600 = (30/100) × 600 = 0.3 × 600 = 180.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-percentages-0009,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Percentages,basic,"If 50% of a number is 75, what is the number?",150 | 155 | 147 | 300,150,"Let the number be \( x \). Then, \( 0.5x = 75 \). \( x = 75 / 0.5 = 150 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
quantitative-aptitude-basic-percentages-0010,quantitative-aptitude,Quantitative Aptitude (Numerical Ability),Percentages,basic,Find 12.5% of 800.,100 | 105 | 97 | 200,100,12.5% of 800 = (12.5/100) × 800 = 0.125 × 800 = 100.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md
